,name,artists,peak_position,weeks_on_chart,week,date,genre,features
1266,Twerk,City Girls,29.0,13.0,4/13/19,9-Nov-18,"East Coast,Motown,Trap,Rap",Cardi B
1268,Lovely,"Billie Eilish, Khalid",64.0,22.0,4/13/19,19-Apr-18,"Pop,Soul,Ballad,Alternative",
1274,I Can't Get Enough,"benny blanco, Tainy, Selena Gomez, J Balvin",66.0,5.0,4/13/19,28-Feb-19,"Colombia,Electronic Pop,Electro,Electro-Pop,Electronic,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Latin Pop,Pop",
1278,Millionaire,Chris Stapleton,47.0,17.0,4/13/19,20-Oct-17,Country,
1281,Girl Like You,Jason Aldean,46.0,19.0,4/13/19,13-Apr-18,Country,
1328,I Like It,"Cardi B, Bad Bunny, J Balvin",1.0,51.0,4/6/19,6-Apr-18,"Trap,Latin Music,En Espa\xc3\xb1ol,Latin Trap,Rap",
1330,Lucid Dreams,Juice WRLD,2.0,46.0,4/6/19,1-Jul-17,"Hip-Hop,Emo,Memes,Alternative Pop,Cloud Rap,Emo Rap,Trap,Rap",
1331,Taki Taki,DJ Snake,11.0,26.0,4/6/19,28-Sep-18,"Rap,French Pop,France,Latin Urban,Reggaeton,En Espa\xc3\xb1ol,Latin Music,Pop","Selena Gomez, Ozuna, Cardi B"
1348,Down To The Honkytonk,Jake Owen,65.0,13.0,4/6/19,10-Aug-18,Country,
1355,Price On My Head,NAV,,,4/6/19,22-Mar-19,"Cloud Rap,Trap,R&;B,Canada,Rap",The Weeknd
1361,Confessions Of A Dangerous Mind,Logic,,,4/6/19,22-Mar-19,"Hip-Hop,Boom Bap,DMV,East Coast,Rap",
1362,Take It From Me,Jordan Davis,46.0,13.0,4/6/19,19-Oct-17,Country,
1363,Splashin,Rich The Kid,80.0,5.0,4/6/19,3-Dec-18,Rap,
1365,I,Lil Skies,39.0,4.0,4/6/19,28-Feb-19,"Trap,Cloud Rap,Rap",
1369,Hear Me Calling,Juice WRLD,38.0,4.0,4/6/19,1-Mar-19,"Cloud Rap,Trap,Dancehall,Afrobeats,Rap",
1374,Undecided,Chris Brown,35.0,12.0,4/6/19,4-Jan-19,"Tropical House,Pop,R&;B",
1377,Calling My Spirit,Kodak Black,46.0,17.0,4/6/19,30-Nov-18,"Trap,Hip-Hop,R&;B,Rap",
1381,Last Hurrah,Bebe Rexha,,,4/6/19,15-Feb-19,"UK,Pop",
1382,Empty,Juice WRLD,41.0,3.0,4/6/19,8-Mar-19,"Emo Rap,Trap,Rap",
1383,Love Wins,Carrie Underwood,83.0,10.0,4/6/19,31-Aug-18,Country,
1445,Sally Walker,Iggy Azalea,,,3/30/19,15-Mar-19,"Dance,Hip-Hop,Aussie Hip-Hop,Australia,Trap,Rap",
1466,Ella Quiere Beber,"Anuel AA, Romeo Santos",61.0,20.0,3/30/19,1-Nov-18,"Puerto Rico,Dancehall,Latin Urban,Latin Trap,Latin Pop,Latin Music,En Espa\xc3\xb1ol,Pop",
1469,Fast,Juice WRLD,47.0,2.0,3/30/19,8-Mar-19,"Cloud Rap,Emo Rap,Trap,Rap",
1479,Slow Dancing In The Dark,Joji,,,3/30/19,12-Sep-18,"Soul,Soul Pop,Lo-Fi,Ballad,Pop,R&;B",
1531,Wake Up In The Sky,"Gucci Mane, Bruno Mars, Kodak Black",11.0,26.0,3/23/19,14-Sep-18,"Island Music,R&;B,Trap,Pop,Rap",
1548,Maze,Juice WRLD,,,3/23/19,8-Mar-19,"Emo Rap,Trap,Rap",
1573,What Makes You Country,Luke Bryan,54.0,11.0,3/23/19,6-Oct-17,Country,
1574,Flaws And Sins,Juice WRLD,,,3/23/19,8-Mar-19,"Emo Rap,Trap,Rap",
1578,Nights Like This,Kehlani,67.0,9.0,3/23/19,10-Jan-19,"West Coast,R&;B",Ty Dolla $ign
1583,Always Remember Us This Way,Lady Gaga,41.0,9.0,3/23/19,5-Oct-18,"TV,Musicals,Soundtrack,Pop",
1628,Leave Me Alone,Flipp Dinero,20.0,25.0,3/16/19,14-Mar-18,Rap,
1630,Mo Bamba,Sheck Wes,6.0,28.0,3/16/19,15-Sep-16,"Hip-Hop,NBA,East Coast,Memes,Basketball,Trap,Rap",
1646,Burn Out,Midland,63.0,9.0,3/16/19,28-Oct-16,Country,
1656,Red Room,Offset,49.0,3.0,3/16/19,30-Nov-18,"Trap,Motown,Rap",
1658,Whip,2 Chainz,,,3/16/19,1-Mar-19,Rap,Travis Scott
1674,Needy,Ariana Grande,14.0,4.0,3/16/19,8-Feb-19,"R&;B,Pop",
1682,Momma I Hit A Lick,2 Chainz,,,3/16/19,1-Mar-19,"West Coast,Rap",Kendrick Lamar
1730,Backin' It Up,Pardison Fontaine,40.0,20.0,3/9/19,20-Sep-18,Rap,Cardi B
1731,Legacy,Offset,,,3/9/19,22-Feb-19,"Motown,Rap","Travis Scott, 21 Savage"
1744,I'll Never Love Again,Lady Gaga,36.0,7.0,3/9/19,5-Oct-18,"Musicals,Soundtrack,Pop",
1747,How Did I Get Here,Offset,,,3/9/19,22-Feb-19,"East Coast,Motown,Rap",J. Cole
1750,NASA,Ariana Grande,17.0,3.0,3/9/19,8-Feb-19,"Trap,R&;B,Pop",
1752,Outstanding,Gunna,,,3/9/19,22-Feb-19,"Trap,Rap",
1754,Be Like Me,Lil Pump,,,3/9/19,21-Feb-19,"Trap,Rap",Lil Wayne
1756,3 Headed Snake,Gunna,,,3/9/19,22-Feb-19,"Trap,Rap",Young Thug
1757,Wit It,Gunna,,,3/9/19,22-Feb-19,"Cloud Rap,Trap,Rap",
1759,This Feeling,The Chainsmokers,50.0,20.0,3/9/19,18-Sep-18,"EDM,Bass Music,Electro,Electro-Pop,Future Bass,Electronic,Dance,Pop",Kelsea Ballerini
1760,One Call,Gunna,56.0,2.0,3/9/19,1-Feb-19,"Cloud Rap,Trap,Rap",
1765,Nothing Breaks Like A Heart,Mark Ronson,43.0,13.0,3/9/19,29-Nov-18,"Nu Disco,Adult Contemporary,Dance-Pop,Pop,Pop Country,Disco",Miley Cyrus
1766,Imagine,Ariana Grande,21.0,8.0,3/9/19,14-Dec-18,"Ballad,Trap,Neo Soul,Alternative R&;B,R&;B,Pop",
1767,Lick,Offset,,,3/9/19,22-Feb-19,"Motown,Rap",
1771,Bad Idea,Ariana Grande,27.0,3.0,3/9/19,8-Feb-19,"Trap,Alternative R&;B,R&;B",
1772,Speed It Up,Gunna,,,3/9/19,11-Feb-19,"Trap,Rap",
1774,Bloodline,Ariana Grande,22.0,3.0,3/9/19,8-Feb-19,"Dancehall,Reggae,R&;B,Pop",
1775,I Guess I Just Feel Like,John Mayer,,,3/9/19,22-Feb-19,Country,
1837,Fake Smile,Ariana Grande,26.0,2.0,3/2/19,8-Feb-19,"Neo Soul,Trap,R&;B,Pop",
1841,Lost In The Fire,"Gesaffelstein, The Weeknd",27.0,6.0,3/2/19,11-Jan-19,"Electronic,Beef,France,Canada,Electro-Pop,Pop,R&;B",
1842,Ghostin,Ariana Grande,25.0,2.0,3/2/19,8-Feb-19,"Dream-Pop,Ballad,R&;B,Pop",
1849,Sixteen,Thomas Rhett,42.0,15.0,3/2/19,8-Sep-17,Country,
1853,In My Head,Ariana Grande,38.0,2.0,3/2/19,8-Feb-19,"Alternative R&;B,Trap,R&;B,Pop",
1861,Body,Loud Luxury,80.0,8.0,3/2/19,27-Oct-17,"Canada,Pop",Brando
1865,365,"Zedd, Katy Perry",,,3/2/19,14-Feb-19,"West Coast,Dance-Pop,Electro,Electro-Pop,Electronic,Dance,Pop",
1868,Yosemite,Travis Scott,25.0,18.0,3/2/19,3-Aug-18,"Atlanta,Canada,Memes,Trap,Rap",
1874,Make Up,Ariana Grande,48.0,2.0,3/2/19,8-Feb-19,"R&;B,Pop",
1876,Good Girl,Dustin Lynch,44.0,15.0,3/2/19,5-May-18,"Pop,Country",
1877,Arms Around You,"XXXTENTACION, Lil Pump",28.0,17.0,3/2/19,23-Oct-18,"Pop,Dancehall,East Coast,Dance,Latin Music,En Espa\xc3\xb1ol,Rap","Maluma, Swae Lee"
1878,Startender,A Boogie Wit da Hoodie,59.0,9.0,3/2/19,14-Dec-18,"Motown,Trap,Rap","Offset, Tyga"
1951,Uproar,Lil Wayne,7.0,20.0,2/23/19,5-Oct-18,Rap,
1954,Burning Man,Dierks Bentley,45.0,17.0,2/23/19,25-May-18,Country,Brothers Osborne
1955,You,Jacquees,58.0,12.0,2/23/19,30-Mar-18,Rap,
1964,Ruin My Life,Zara Larsson,76.0,7.0,2/23/19,18-Oct-18,"Scandinavia,Scandipop,Synth-Pop,R&;B,Pop",
1974,Talk To Me,"Tory Lanez, Rich The Kid",43.0,16.0,2/23/19,21-Jun-18,"Instrumental Hip-Hop,Trip-Hop,Dancehall,Trap,Canada,R&;B,Rap",
1976,Rainbow,Kacey Musgraves,,,2/23/19,11-Feb-19,Country,
2006,Alone,Marshmello,28.0,11.0,2/16/19,13-May-16,"Electronic Trap,Electronic,Pop",
2013,Breathin,Ariana Grande,12.0,25.0,2/16/19,17-Aug-18,"Dance-Pop,Electro-Pop,R&;B,Pop",
2016,Trip,Ella Mai,11.0,27.0,2/16/19,3-Aug-18,"UK,R&;B",
2019,Love Lies,"Khalid, Normani",9.0,51.0,2/16/19,14-Feb-18,"Soundtrack,R&;B",
2025,Beautiful,Bazzi,26.0,27.0,2/16/19,2-Aug-18,"Remix,Ballad,R&;B,Pop",Camila Cabello
2057,First Off,Future,47.0,3.0,2/16/19,18-Jan-19,"Atlanta,Trap,Rap",Travis Scott
2065,Roses,"benny blanco, Juice WRLD",85.0,6.0,2/16/19,5-Dec-18,"Emo Rap,Pop-Punk,Pop,Rap",Brendon Urie
2068,Keanu Reeves,Logic,38.0,3.0,2/16/19,18-Jan-19,"DMV,East Coast,Rap",
2069,No Stylist,French Montana,47.0,20.0,2/16/19,20-Sep-18,"Trap,Canada,Rap",Drake
2074,Crushed Up,Future,43.0,5.0,2/16/19,4-Jan-19,"Atlanta,Trap,Rap",
2132,Best Shot,Jimmie Allen,37.0,20.0,2/9/19,12-Oct-18,Country,
2165,Sauce!,XXXTENTACION,,,2/9/19,23-Jan-19,"R&;B,Remix,Trap,Rap",
2173,BAD!,XXXTENTACION,16.0,11.0,2/9/19,9-Nov-18,"Hip-Hop,Cloud Rap,R&;B,Trap,Rap",
2175,Blue Tacoma,Russell Dickerson,52.0,19.0,2/9/19,5-Mar-18,Country,
2226,Natural,Imagine Dragons,13.0,27.0,2/2/19,17-Jul-18,"Alternative,Adult Alternative,Indie Rock,Alternative Rock,Pop-Rock,Rock,Pop",
2233,Jumpin On A Jet,Future,57.0,2.0,2/2/19,9-Jan-19,"Atlanta,Trap,Rap",
2240,Never Stop,Future,,,2/2/19,18-Jan-19,"Atlanta,Cloud Rap,Trap,Rap",
2247,Consequences,Camila Cabello,51.0,12.0,2/2/19,12-Jan-18,"Ballad,Piano,Cuba,M\xc3\xa9xico,Pop",
2251,Temptation,Future,,,2/2/19,18-Jan-19,"Atlanta,Trap,Rap",
2254,Rocket Ship,Future,,,2/2/19,18-Jan-19,"Atlanta,Trap,Rap",
2264,Electricity,"Silk City, Dua Lipa",62.0,10.0,2/2/19,7-Sep-18,"Retro,Disco,Electro House,Dance-Pop,Dance,Electronic,UK,House,Pop",
2272,Face My Fears,"Hikaru Utada, Skrillex",,,2/2/19,18-Jan-19,"Theme Song,Future Bass,Disney,Electro-Pop,Electronic,Soundtrack,Gaming,Japan,Pop",
2274,Call The Coroner,Future,,,2/2/19,18-Jan-19,"Atlanta,Trap,Rap",
2312,She Got The Best Of Me,Luke Combs,31.0,23.0,1/26/19,1-Jul-14,Country,
2356,Fine China,"Future, Juice WRLD",26.0,13.0,1/26/19,15-Oct-18,"Trap,Rap",
2357,Nuketown,Ski Mask The Slump God,63.0,6.0,1/26/19,30-Nov-18,"Hip-Hop,Screamo,Trap,Rap",Juice WRLD
2361,Space Cadet,Metro Boomin,51.0,6.0,1/26/19,2-Nov-18,"Trap,Rap",Gunna
2362,Butterfly Doors,Lil Pump,81.0,2.0,1/26/19,4-Jan-19,"Trap,Rap",
2363,Valuable Pain,YoungBoy Never Broke Again,87.0,2.0,1/26/19,10-Dec-18,Rap,
2366,Can't Leave Without It,21 Savage,58.0,4.0,1/26/19,21-Dec-18,"Motown,Trap,Rap",
2367,Good Form,Nicki Minaj,60.0,6.0,1/26/19,29-Nov-18,"Remix,Rap",Lil Wayne
2369,idontwannabeyouanymore,Billie Eilish,96.0,3.0,1/26/19,21-Jul-17,"Dark Pop,Alternative Pop,Alternative,Pop",
2432,Last Shot,Kip Moore,53.0,8.0,1/19/19,8-Sep-17,Country,
2455,Lost In Japan,"Shawn Mendes, Zedd",48.0,16.0,1/19/19,27-Sep-18,"Canada,R&;B,Remix,Electronic,Dance,Pop",
2461,Monster,21 Savage,73.0,3.0,1/19/19,21-Dec-18,"Atlanta,Hip-Hop,Trap,Rap",
2466,Demons And Angels,A Boogie Wit da Hoodie,90.0,3.0,1/19/19,21-Dec-18,"Cloud Rap,Trap,Rap",Juice WRLD
2467,KIKA,6ix9ine,44.0,6.0,1/19/19,27-Nov-18,"Trap,R&;B,Canada,East Coast,Rap",Tory Lanez
2470,Dip,"Tyga, Nicki Minaj",63.0,8.0,1/19/19,29-Oct-18,"West Coast,Rap",
2471,Lucky You,Eminem,6.0,14.0,1/19/19,31-Aug-18,Rap,Joyner Lucas
2510,Drunk Me,Mitchell Tenpenny,39.0,21.0,1/12/19,26-Mar-18,Country,
2517,Dangerous,Meek Mill,31.0,20.0,1/12/19,6-Jul-18,"East Coast,R&;B,Rap","Jeremih, PnB Rock"
2564,whoa,XXXTENTACION,37.0,3.0,1/12/19,7-Dec-18,"Lo-Fi,Chillstep,Pop",
2565,All My Friends,21 Savage,67.0,2.0,1/12/19,21-Dec-18,"Trap,Rap",
2571,All I Want For Christmas Is You,Mariah Carey,3.0,30.0,1/5/19,,"East Coast,Christmas,R&;B,Pop",
2576,Jingle Bell Rock,Bobby Helms,8.0,25.0,1/5/19,,"Pop,Rockabilly,Christmas,Rock",
2577,Rockin' Around The Christmas Tree,Brenda Lee,9.0,27.0,1/5/19,,"Christmas,Rock",
2578,A Holly Jolly Christmas,Burl Ives,10.0,10.0,1/5/19,,Pop,
2579,The Christmas Song,Nat King Cole,11.0,17.0,1/5/19,,"Pop,Christmas",
2581,It's The Most Wonderful Time Of The Year,Andy Williams,10.0,10.0,1/5/19,,"Christmas,Holiday,Pop",
2584,Rudolph The Red,Nosed Reindeer,16.0,4.0,1/5/19,,"Christmas,Pop",
2592,Last Christmas,Wham!,25.0,9.0,1/5/19,,"Christmas,New Wave,Synth-Pop,Pop",
2593,Sleigh Ride,The Ronettes,26.0,3.0,1/5/19,,"Christmas,Pop",
2595,Here Comes Santa Claus,Gene Autry,28.0,3.0,1/5/19,,"Christmas,Pop",
2596,Feliz Navidad,Jose Feliciano,29.0,5.0,1/5/19,,"Rock,Pop,Latin Pop,Latin Music,Holiday,Christmas",
2599,Home For The Holidays,Perry Como,32.0,2.0,1/5/19,,"Pop,Christmas",
2601,White Christmas,Bing Crosby,12.0,15.0,1/5/19,,"Pop,Christmas",
2606,Blue Christmas,Elvis Presley,,,1/5/19,,"R&;B,Christmas,Country,Rock",
2608,Christmas,Darlene Love,43.0,2.0,1/5/19,,Rock,
2609,Underneath The Tree,Kelly Clarkson,44.0,4.0,1/5/19,5-Nov-13,"Christmas,Pop",
2610,Run Rudolph Run,Chuck Berry,45.0,4.0,1/5/19,,"Christmas,Rock",
2614,Jingle Bells,Frank Sinatra,,,1/5/19,,"Christmas,Pop",
2618,Cozy Little Christmas,Katy Perry,53.0,2.0,1/5/19,15-Nov-18,"Christmas,Holiday,Pop",
2635,Break Da Law,21 Savage,,,1/5/19,21-Dec-18,"Trap,Rap",
2650,1.5,21 Savage,,,1/5/19,21-Dec-18,"Motown,Trap,Rap",
2652,Out For The Night,21 Savage,,,1/5/19,21-Dec-18,"Trap,Rap",
2657,Gun Smoke,21 Savage,,,1/5/19,21-Dec-18,"Trap,Rap",
2659,ASMR,21 Savage,,,1/5/19,21-Dec-18,"Trap,Rap",
2708,Wonderful Christmastime,Paul McCartney,,,12/29/18,,Rock,
2719,MoshPit,Kodak Black,,,12/29/18,12-Dec-18,"Trap,Rap",Juice WRLD
2734,Testimony,Kodak Black,,,12/29/18,14-Sep-18,Rap,
2747,Gnarly,Kodak Black,,,12/29/18,14-Dec-18,"Cloud Rap,Trap,Rap",Lil Pump
2757,Uptown Vibes,Meek Mill,39.0,3.0,12/29/18,22-Nov-18,"East Coast,Latin Urban,En Espa\xc3\xb1ol,Latin Music,Latin Trap,Rap","Fabolous, Anuel AA"
2759,MAMA,6ix9ine,43.0,4.0,12/29/18,27-Nov-18,"Pop,Motown,Trap,Rap","Nicki Minaj, Kanye West"
2803,Broken,lovelytheband,29.0,22.0,12/22/18,7-Jul-17,"Pop,Indie Pop,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock",
2804,Taste,Tyga,8.0,29.0,12/22/18,16-May-18,"Trap,West Coast,Rap",Offset
2806,Guardian Angel,XXXTENTACION,,,12/22/18,7-Dec-18,"Hip-Hop,Emo,Cloud Rap,Alternative,Emo Rap,Lo-Fi,Rap",
2808,God Is A Woman,Ariana Grande,8.0,22.0,12/22/18,13-Jul-18,"Feminism,Alternative R&;B,Electro-Pop,Trap,R&;B,Pop",
2809,I Don't Let Go,XXXTENTACION,,,12/22/18,7-Dec-18,"Hip-Hop,Trap,Rap",
2819,What's Free,Meek Mill,20.0,2.0,12/22/18,30-Nov-18,"East Coast,Rap","Rick Ross, JAY"
2820,One Minute,XXXTENTACION,,,12/22/18,7-Dec-18,"Alternative Metal,Rap Rock,Alternative Rock,Hip-Hop,Nu-Metal,Rap,Screamo,Rock","Kanye West, Travis Barker"
2822,Train Food,XXXTENTACION,,,12/22/18,7-Dec-18,"Emo Rap,Emo,Hip-Hop,Piano,Rap",
2823,What Are You So Afraid Of,XXXTENTACION,,,12/22/18,7-Dec-18,"Pop,Acoustic,R&;B",
2825,Staring At The Sky,XXXTENTACION,,,12/22/18,7-Dec-18,"Nu-Metal,Alternative Metal,Metal,Screamo,Alternative Rock,Rock",
2827,Lie,NF,48.0,20.0,12/22/18,6-Oct-17,"Pop,Rap",
2835,WAKA,6ix9ine,51.0,3.0,12/22/18,27-Nov-18,"Trap,Rap",A Boogie Wit da Hoodie
2839,On Me,Meek Mill,30.0,2.0,12/22/18,30-Nov-18,"East Coast,Rap",Cardi B
2841,Difference,XXXTENTACION,,,12/22/18,7-Dec-18,"Interlude,Acoustic,Pop,R&;B",
2847,TIC TOC,6ix9ine,53.0,3.0,12/22/18,27-Nov-18,"Trap,Motown,Rap",Lil Baby
2848,That's On Me,Yella Beezy,56.0,20.0,12/22/18,31-Oct-17,Rap,
2907,FEFE,6ix9ine,3.0,20.0,12/15/18,22-Jul-18,"Hip-Hop,Pop,Trap,Rap","Nicki Minaj, Murda Beatz"
2910,Intro,Meek Mill,,,12/15/18,28-Oct-12,Rap,
2912,Respect The Game,Meek Mill,,,12/15/18,30-Nov-18,"East Coast,Rap",
2913,Ring,Cardi B,28.0,20.0,12/15/18,6-Apr-18,"West Coast,East Coast,Pop,R&;B,Rap",Kehlani
2916,Trauma,Meek Mill,,,12/15/18,30-Oct-12,Rap,
2917,Time,Lil Baby,,,12/15/18,30-Nov-18,"Motown,Trap,Rap",Meek Mill
2921,Ready,Lil Baby,,,12/15/18,30-Nov-18,"Trap,Rap",Gunna
2925,Championships,Meek Mill,,,12/15/18,29-Nov-18,"East Coast,Rap",
2927,Tic Tac Toe,Meek Mill,,,12/15/18,30-Nov-18,"East Coast,Rap",Kodak Black
2928,Almost Slipped,Meek Mill,,,12/15/18,30-Nov-18,"East Coast,R&;B,Rap",
2931,Splash Warning,Meek Mill,,,12/15/18,30-Nov-18,"East Coast,Rap","Future, Roddy Ricch, Young Thug"
2932,Pay You Back,Meek Mill,,,12/15/18,30-Nov-18,"East Coast,Rap",21 Savage
2935,Foot Fungus,Ski Mask The Slump God,,,12/15/18,30-Nov-18,"Trap,Rap",
2936,Crush A Lot,Lil Baby,,,12/15/18,30-Nov-18,"Motown,Trap,Rap",
2939,Oodles O' Noodles Babies,Meek Mill,,,12/15/18,22-Nov-18,"East Coast,Rap",
2943,STOOPID,6ix9ine,25.0,9.0,12/15/18,5-Oct-18,"Hardcore Hip-Hop,East Coast,Trap,Rap",Bobby Shmurda
2945,Global,Lil Baby,,,12/15/18,30-Nov-18,"Motown,Trap,Rap",
2951,Word On The Street,Lil Baby,,,12/15/18,30-Nov-18,"Motown,Trap,Rap",
2990,In My Feelings,Drake,1.0,22.0,12/8/18,29-Jun-18,"Bounce,Pop,Trap,Canada,R&;B,Rap",
2994,Lose It,Kane Brown,28.0,20.0,12/8/18,7-Jun-18,Country,
2997,Yes Indeed,"Lil Baby, Drake",6.0,29.0,12/8/18,12-May-18,"Hip-Hop,Trap,Canada,Motown,Rap",
2999,Nonstop,Drake,2.0,22.0,12/8/18,29-Jun-18,"Memes,Trap,Canada,Rap",
3003,Boo'd Up,Ella Mai,5.0,35.0,12/8/18,24-Feb-17,"UK,R&;B",
3018,Topanga,Trippie Redd,52.0,5.0,12/8/18,22-Oct-18,"Emo Rap,Emo,Trap,Producer,Rap",
3020,Come Out And Play,Billie Eilish,,,12/8/18,20-Nov-18,"Ballad,Alternative Pop,Alternative,Indie Pop,Indie,Pop",
3021,10 Freaky Girls,Metro Boomin,42.0,4.0,12/8/18,2-Nov-18,"Atlanta,Trap,Rap",21 Savage
3023,1400 / 999 Freestyle,Trippie Redd,55.0,3.0,12/8/18,9-Nov-18,"Emo Rap,Trap,Rap",Juice WRLD
3029,I'm A Mess,Bebe Rexha,35.0,20.0,12/8/18,15-Jun-18,Pop,
3030,Hangin' On,Chris Young,63.0,13.0,12/8/18,5-Mar-18,Country,
3036,Never Recover,"Lil Baby, Gunna",15.0,8.0,12/8/18,5-Oct-18,"Atlanta,Motown,Trap,Rap",Drake
3037,BEBE,6ix9ine,30.0,5.0,12/8/18,31-Aug-18,"Puerto Rico,Rap,Latin Urban,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music",Anuel AA
3038,Rich,Maren Morris,62.0,8.0,12/8/18,3-Jun-16,Country,
3044,Best Part,Daniel Caesar,75.0,19.0,12/8/18,25-Aug-17,"Canada,R&;B",H.E.R.
3046,Don't Come Out The House,Metro Boomin,38.0,4.0,12/8/18,2-Nov-18,"Gangsta Rap,Trap,Rap",21 Savage
3048,I Love It,"Kanye West, Lil Pump",6.0,12.0,12/8/18,6-Sep-18,"Hip-Hop,Memes,Rap",
3049,Falling Down,"Lil Peep, XXXTENTACION",13.0,11.0,12/8/18,19-Sep-18,"Alternative,Pop,Pop-Rock,Emo Rap,Alternative Pop,Emo",
3050,Noticed,Lil Mosey,80.0,10.0,12/8/18,20-Jul-18,"Trap,Rap",
3095,I Like Me Better,Lauv,27.0,41.0,12/1/18,19-May-17,"Electronic,Pop",
3096,Psycho,Post Malone,1.0,39.0,12/1/18,23-Feb-18,Rap,Ty Dolla $ign
3097,Sad!,XXXTENTACION,1.0,38.0,12/1/18,2-Mar-18,"Hip-Hop,Trap,Emo Rap,Rap,Alternative,Cloud Rap",
3101,Bohemian Rhapsody,Queen,2.0,44.0,12/1/18,,"Memes,Piano,British Rock,Adult Alternative,Baroque Pop,Hard Rock,Opera,Orchestral,Pop-Rock,Pop,Progressive Rock,Ballad,Art Rock,UK,Rock",
3130,Take One,Kodak Black,,,12/1/18,16-Nov-18,Rap,
3139,Mona Lisa,Lil Wayne,2.0,8.0,12/1/18,28-Sep-18,"West Coast,Rap",Kendrick Lamar
3143,Desperate Man,Eric Church,68.0,15.0,12/1/18,13-Jul-18,Country,
3148,Burn The House Down,AJR,,,12/1/18,23-Mar-18,Pop,
3196,Big Bank,YG,16.0,24.0,11/24/18,25-May-18,Rap,"2 Chainz, Big Sean, Nicki Minaj"
3219,Love Scars 3,Trippie Redd,,,11/24/18,9-Nov-18,"Emo,Emo Rap,Cloud Rap,Trap,Rap",
3234,Negative Energy,Trippie Redd,,,11/24/18,9-Nov-18,"Emo,Emo Rap,Cloud Rap,Trap,Rap",Kodie Shane
3243,Toxic Waste,Trippie Redd,,,11/24/18,9-Nov-18,"Emo,Emo Rap,Cloud Rap,Trap,Rap",
3244,Drew Barrymore,Bryce Vine,46.0,14.0,11/24/18,8-Sep-17,"Pop,Rap",
3245,Jackie Chan,"Tiesto, Dzeko",52.0,19.0,11/24/18,18-May-18,"Dance,Remix,Rap,Pop","Preme, Post Malone"
3292,Back To You,Selena Gomez,18.0,26.0,11/17/18,10-May-18,"Ballad,Electro-Pop,Dance-Pop,Soundtrack,Pop",
3294,Delicate,Taylor Swift,12.0,35.0,11/17/18,10-Nov-17,"Synth-Pop,New Wave,Tropical House,Electro-Pop,Electronic,Pop",
3306,Overdue,Metro Boomin,,,11/17/18,2-Nov-18,"Trap,Rap",Travis Scott
3312,Last Memory,TakeOff,54.0,2.0,11/17/18,26-Oct-18,"Motown,Trap,Rap",
3316,Dreamcatcher,Metro Boomin,,,11/17/18,2-Nov-18,"Atlanta,Trap,Rap","Swae Lee, Travis Scott"
3322,No More,Metro Boomin,,,11/17/18,2-Nov-18,"Emo Rap,Trap,Rap","Travis Scott, Kodak Black, 21 Savage"
3331,Promises,"Calvin Harris, Sam Smith",65.0,12.0,11/17/18,17-Aug-18,"Electronic,Dance,Pop",
3337,No Brainer,DJ Khaled,5.0,15.0,11/17/18,27-Jul-18,"Motown,R&;B,Electro-Pop,Canada,Rap,Pop","Justin Bieber, Chance The Rapper, Quavo"
3339,Hotel Key,Old Dominion,48.0,19.0,11/17/18,25-Sep-17,Country,
3341,Killshot,Eminem,3.0,8.0,11/17/18,14-Sep-18,"Hip-Hop,Trap,Hardcore Hip-Hop,Beef,Rap",
3342,Casper,TakeOff,,,11/17/18,2-Nov-18,"Trap,Motown,Rap",
3343,Up To Something,Metro Boomin,,,11/17/18,2-Nov-18,"Atlanta,Trap,Rap","Travis Scott, Young Thug"
3374,Thriller,Michael Jackson,4.0,18.0,11/10/18,,"Eighties,Halloween,Funk,Synth-Pop,Soul,Soul Pop,R&;B,Pop",
3389,The Middle,"Zedd, Maren Morris, Grey",5.0,40.0,11/10/18,23-Jan-18,"Deutschland,Electro-Pop,Electronic,Dance,Pop",
3420,Drunk Girl,Chris Janson,79.0,10.0,11/10/18,22-Sep-17,Country,
3430,Waste It On Me,Steve Aoki,,,11/10/18,25-Oct-18,"Dance,Pop",BTS
3431,A Million Dreams,P!nk,,,11/10/18,24-Oct-18,"Soundtrack,Cover,Pop",
3433,New Patek,Lil Uzi Vert,24.0,7.0,11/10/18,18-Sep-18,"Trap,Cloud Rap,Rap",
3435,Break Up In The End,Cole Swindell,49.0,17.0,11/10/18,23-Feb-18,Country,
3437,Kamikaze,Lil Mosey,,,11/10/18,19-Oct-18,Rap,
3440,Drowns The Whiskey,Jason Aldean,32.0,19.0,11/10/18,13-Apr-18,Country,Miranda Lambert
3490,No Tears Left To Cry,Ariana Grande,3.0,27.0,11/3/18,20-Apr-18,"Electro-Pop,Synth-Pop,Pop,Dance-Pop",
3510,Jet Lag,"Future, Juice WRLD",,,11/3/18,19-Oct-18,"Trap,Rap",Young Scooter
3519,Astronauts,"Future, Juice WRLD",,,11/3/18,19-Oct-18,"Trap,Rap",
3525,Suncity,Khalid,,,11/3/18,19-Oct-18,"Dance-Pop,Pop,En Espa\xc3\xb1ol,R&;B",Empress Of
3526,Vertigo,Khalid,,,11/3/18,19-Oct-18,R&;B,
